Gemeente;Inwoners per km² land
's-Gravenhage (gemeente);6 827
Leiden;5 816
Haarlem;5 662
Amsterdam;4 880
Capelle aan den IJssel;4 777
Delft;4 681
Gouda;4 565
Schiedam;4 528
Maassluis;4 180
Rijswijk (ZH.);4 150
Utrecht (gemeente);3 924
Krimpen aan den IJssel;3 845
Hoorn;3 692
Zoetermeer;3 689
Oegstgeest;3 530
Veenendaal;3 528
Nijmegen;3 456
Papendrecht;3 428
Vlaardingen;3 214
Hendrik-Ido-Ambacht;3 159
Rotterdam;3 040
Heemstede;3 029
Nieuwegein;2 794
Eindhoven;2 769
Diemen;2 744
Katwijk;2 685
Huizen;2 609
Amersfoort;2 572
Barendrecht;2 493
Leiderdorp;2 406
Leidschendam-Voorburg;2 384
Beverwijk;2 327
Alblasserdam;2 320
Voorschoten;2 309
Amstelveen;2 297
Zwijndrecht;2 217
Maastricht;2 200
Zaanstad;2 165
Westervoort;2 155
Kerkrade;2 082
Gorinchem;2 055
Hilversum;2 047
Sliedrecht;2 038
Ridderkerk;2 022
Heerlen;1 940
Tilburg;1 809
Helmond;1 785
Hillegom;1 747
Uithoorn;1 735
Almere;1 725
Arnhem;1 696
Urk;1 661
Aalsmeer;1 645
Brunssum;1 606
IJsselstein;1 594
Dordrecht;1 566
Pijnacker-Nootdorp;1 564
Stede Broec;1 529
Velsen;1 528
Landgraaf;1 512
Enkhuizen;1 491
Lisse;1 490
Breda;1 483
Oldenzaal;1 481
Veldhoven;1 465
Gooise Meren;1 456
's-Hertogenbosch;1 450
Heemskerk;1 446
Dijk en Waard;1 438
Westland;1 423
Zeist;1 374
Teylingen;1 360
Hengelo (O.);1 353
Wageningen;1 347
Vlissingen;1 314
Geldrop-Mierlo;1 304
Heiloo;1 300
Tiel;1 299
Groningen (gemeente);1 284
Harderwijk;1 256
Den Helder;1 254
Albrandswaard;1 217
Lansingerland;1 216
Zwolle;1 196
Zutphen;1 186
Nissewaard;1 184
Stein (L.);1 184
Waddinxveen;1 175
Sittard-Geleen;1 173
Enschede;1 146
Blaricum;1 128
Hardinxveld-Giessendam;1 108
Almelo;1 101
Middelburg (Z.);1 033
Soest;1 026
Culemborg;1 016
Alkmaar;1 014
Purmerend;1 004
Roermond;989
Doesburg;959
Borne;944
Laren (NH.);944
Dongen;930
Houten;921
Best;912
Alphen aan den Rijn;907
Bergen op Zoom;861
Assen;848
Oostzaan;841
Venlo;832
Geertruidenberg;831
Haarlemmermeer;823
Zuidplas;811
Etten-Leur;806
Oosterhout;804
Waalre;803
Deventer;787
Noordwijk;774
Waalwijk;774
Baarn;769
Beek (L.);766
Lingewaard;762
Scherpenzeel;753
Doetinchem;749
Bunschoten;740
Duiven;736
Castricum;732
Roosendaal;729
Nuenen, Gerwen en Nederwetten;714
Uitgeest;703
Meerssen;696
Son en Breugel;694
Renkum;685
Stichtse Vecht;685
Edam-Volendam;677
De Bilt;663
Harlingen;649
Nijkerk;649
Simpelveld;649
Meppel;639
Wijchen;629
Beuningen;609
Voorne aan Zee;607
Bloemendaal;602
Woerden;601
Ouder-Amstel;596
Oss;583
Heusden;581
Valkenswaard;574
Goirle;563
Zandvoort;547
Hattem;545
Leusden;538
Leeuwarden;535
Vught;535
Rheden;533
Maasgouw;532
Wassenaar;529
Landsmeer;522
Druten;520
Wijdemeren;519
Sint-Michielsgestel;516
Wijk bij Duurstede;504
Apeldoorn;492
Boxtel;489
Weert;488
Zevenaar;486
Rhenen;484
Beesel;482
Bodegraven-Reeuwijk;482
Smallingerland;479
Loon op Zand;477
Mook en Middelaar;463
Beekdaelen;459
De Ronde Venen;457
Meierijstad;455
Kaag en Braassem;453
Overbetuwe;447
Valkenburg aan de Geul;447
Zoeterwoude;446
Hoogeveen;442
Bunnik;434
Wormerland;431
Maashorst;429
Vaals;427
Goes;426
Neder-Betuwe;424
Heumen;423
Laarbeek;420
Halderberge;417
Midden-Delfland;413
Oisterwijk;411
Vijfheerenlanden;411
Berg en Dal;410
Gilze en Rijen;410
Rijssen-Holten;409
Maasdriel;395
Kampen;394
Voerendaal;394
Woudenberg;393
Krimpenerwaard;389
Zaltbommel;386
Ede;384
Utrechtse Heuvelrug;382
Medemblik;380
Elburg;377
Nieuwkoop;375
Gennep;373
Montfoort;371
Rucphen;367
Veendam;364
Lelystad;363
Bernheze;360
Barneveld;351
Kapelle;351
Montferland;349
Drechterland;346
Waterland;339
Eijsden-Margraten;335
Hoeksche Waard;334
Boekel;324
Emmen;324
Ermelo;321
Twenterand;319
Renswoude;313
Echt-Susteren;310
Eemnes;309
Bergen (NH.);304
Drimmelen;295
Opmeer;294
Koggenland;293
Putten;292
Oude IJsselstreek;291
Altena;289
Peel en Maas;284
Zwartewaterland;284
Aalten;282
Deurne;282
Schagen;282
